,id,UTC,PDT,text
0,1237176577726636033,2020-03-10 00:40:56+00:00,2020-03-09 17:40:56-07:00,This tweet is about to undergo exponential bad aging https://t.co/lSs0HFCbmw
1,1237468418804080641,2020-03-10 20:00:36+00:00,2020-03-10 13:00:36-07:00,"March 10th 2020:
Confirmed COVID-19 cases in the US: 805+
Deaths from COVID-19 in the US: 28"
2,1237836442224615424,2020-03-11 20:23:00+00:00,2020-03-11 13:23:00-07:00,"March 11th:

Confirmed COVID-19 cases in the US: 1109
Deaths from COVID-19 in the US: 31"
3,1238242577712701441,2020-03-12 23:16:50+00:00,2020-03-12 16:16:50-07:00,"March 12th:

Confirmed COVID-19 cases in the US: 1,678
Deaths from COVID-19 in the US: 40"
4,1238578903318290432,2020-03-13 21:33:16+00:00,2020-03-13 14:33:16-07:00,"March 13th

Confirmed COVID-19 cases in the US: 1,922
Deaths from COVID-19 in the US: 41"
5,1239291675932897280,2020-03-15 20:45:35+00:00,2020-03-15 13:45:35-07:00,"oops missed a day

March 15th

Confirmed COVID-19 cases in the US: 3,244
Deaths from COVID-19 in the US: 62"
6,1239731630027112449,2020-03-17 01:53:48+00:00,2020-03-16 18:53:48-07:00,"March 16th

Confirmed COVID-19 cases in the US: 4,661
Deaths from COVID-19 in the US: 85

after only a single week,… https://t.co/i0tvF5XwoN"
7,1240006105893240832,2020-03-17 20:04:28+00:00,2020-03-17 13:04:28-07:00,"March 17th

Confirmed COVID-19 cases in the US: 5704
Deaths from COVID-19 in the US: 96

this tweet is now more tha… https://t.co/lf0DvQGDBR"
8,1240392554878730240,2020-03-18 21:40:05+00:00,2020-03-18 14:40:05-07:00,"March 18th

Confirmed COVID-19 cases in the US: 7769
Deaths from COVID-19 in the US: 118

tweet is now almost 15x s… https://t.co/f3LSCj5awi"
9,1240755646221275138,2020-03-19 21:42:52+00:00,2020-03-19 14:42:52-07:00,"March 19th

Confirmed COVID-19 cases in the US: 13060
Deaths from COVID-19 in the US: 175

tweet is now ~25x shittier"
10,1241103740217638912,2020-03-20 20:46:04+00:00,2020-03-20 13:46:04-07:00,"March 20th

Confirmed COVID-19 cases in the US: 17038
Deaths from COVID-19 in the US: 219

tweet is now ~32x shitti… https://t.co/6EJMY7Nqog"
11,1241468456081297408,2020-03-21 20:55:19+00:00,2020-03-21 13:55:19-07:00,"March 21st

Confirmed COVID-19 cases in the US: 23,203
Deaths from COVID-19 in the US: 272

tweet is now ~44x shitt… https://t.co/8Kxg4E1amm"
12,1241832629063659520,2020-03-22 21:02:25+00:00,2020-03-22 14:02:25-07:00,"March 22nd

Confirmed COVID-19 cases in the US: 31,888
Deaths from COVID-19 in the US: 398

tweet is now ~61x shitt… https://t.co/LaGGrzkp9n"
